0.052,-0.006
0.056,0.058
0.058,0.122
0.062,0.186
0.067,0.256
0.071,0.326
0.075,0.384
0.081,0.43
0.091,0.477
0.099,0.5
0.108,0.523
0.115,0.535
0.124,0.547
0.132,0.547
0.139,0.547
0.147,0.541
0.154,0.541
0.161,0.541
0.168,0.541
0.175,0.541
0.185,0.535
0.192,0.541
0.199,0.547
0.207,0.547
0.214,0.552
0.222,0.558
0.231,0.564
0.24,0.576
0.246,0.581
0.254,0.605
0.26,0.61
0.268,0.628
0.276,0.628
0.285,0.645
0.293,0.657
0.301,0.663
0.308,0.674
0.318,0.686
0.326,0.698
0.335,0.715
0.343,0.727
0.351,0.733
0.36,0.744
0.367,0.75
0.375,0.756
0.383,0.767
0.39,0.767
0.397,0.773
0.406,0.756
0.412,0.756
0.42,0.744
0.426,0.733
0.431,0.721
0.436,0.698
0.442,0.674
0.447,0.64
0.452,0.605
0.458,0.57
0.461,0.523
0.467,0.483
0.471,0.43
0.474,0.378
0.476,0.337
0.48,0.297
0.485,0.244
0.488,0.186
0.491,0.14
0.493,0.093
0.494,0.052
0.498,0.017
