0.05,0.017
0.052,0.523
0.054,1.029
0.056,1.279
0.057,1.517
0.058,1.698
0.06,1.965
0.061,2.157
0.062,2.366
0.065,2.471
0.067,2.517
0.07,2.552
0.074,2.5
0.076,2.442
0.078,2.372
0.082,2.302
0.085,2.209
0.088,2.128
0.089,2.07
0.091,2
0.094,1.936
0.097,1.855
0.099,1.797
0.103,1.709
0.106,1.64
0.11,1.57
0.114,1.5
0.118,1.407
0.122,1.343
0.126,1.267
0.131,1.192
0.138,1.122
0.143,1.058
0.149,1
0.156,0.965
0.162,0.907
0.169,0.866
0.177,0.837
0.186,0.802
0.194,0.797
0.203,0.785
0.214,0.791
0.224,0.802
0.232,0.837
0.24,0.849
0.251,0.884
0.259,0.919
0.267,0.948
0.275,0.988
0.283,1.023
0.292,1.047
0.299,1.076
0.307,1.11
0.315,1.145
0.326,1.186
0.335,1.209
0.342,1.25
0.35,1.291
0.358,1.314
0.367,1.36
0.376,1.407
0.382,1.43
0.387,1.465
0.393,1.5
0.401,1.558
0.408,1.616
0.415,1.663
0.421,1.715
0.425,1.779
0.431,1.831
0.435,1.872
0.439,1.936
0.443,1.988
0.447,2.047
0.45,2.116
0.453,2.18
0.456,2.238
0.46,2.314
0.466,2.372
0.469,2.43
0.474,2.477
0.481,2.442
0.484,2.349
0.487,2.198
0.489,1.965
0.491,1.674
0.493,1.407
0.494,1.209
0.496,1.012
0.497,0.773
0.499,0.5
0.502,-0.012

