X:0.1Inner,Y:0.1Inner,X:0.02Inner,Y:0.02Inner,X:0.04Inner,Y:0.04Inner,X:0.1Outer,Y:0.1Outer,X:0.02Outer,Y:0.02Outer,X:0.04Outer,Y:0.04Outer,,,,,,,,,,,,,,,,,,ID
0.400281,2.36161,0.627053,3.55409,0.525148,2.98064,0.004057,1.10493,0.331648,2.07035,0.239351,1.80951,,,,,,,,,,,,,,,,,,
0.4509,2.71622,0.667547,3.85278,0.569964,3.37861,0.05071,1.19281,0.370071,2.293,0.314402,2.20647,,,,,,,,,,,,,,,,,,
0.513667,3.10792,0.693869,4.02067,0.651405,3.92873,0.105477,1.3911,0.426694,2.67141,0.391481,2.44871,,,,,,,,,,,,,,,,,,
0.560236,3.4064,0.72829,4.26331,0.722692,4.51635,0.162272,1.45677,0.489383,3.04988,0.458418,2.91206,,,,,,,,,,,,,,,,,,
0.618954,3.89202,0.760686,4.52477,0.783774,4.93366,0.198783,1.56686,0.541962,3.3838,0.529412,3.30907,,,,,,,,,,,,,,,,,,
0.675646,4.37772,0.801181,4.82347,0.826582,5.42602,0.231237,1.7433,0.590495,3.80656,0.588235,3.77251,,,,,,,,,,,,,,,,,,
0.72829,4.78853,0.825478,4.97267,0.932542,6.48687,0.27789,1.85328,0.618807,4.00688,0.628803,4.08145,,,,,,,,,,,,,,,,,,
0.774859,5.1808,0.861923,5.29026,0.969248,6.96017,0.332657,2.20627,0.663296,4.45181,0.703854,4.832,,,,,,,,,,,,,,,,,,
0.823453,5.64803,0.89027,5.53311,1.034448,7.58539,0.385396,2.49298,0.701719,4.74113,0.776876,5.71517,,,,,,,,,,,,,,,,,,
0.870022,6.2654,0.918616,5.73845,1.081325,8.09676,0.440162,2.91226,0.744186,5.18605,0.817444,6.13461,,,,,,,,,,,,,,,,,,
0.910517,6.67664,0.944938,6.01889,1.11596,8.41887,0.474645,3.11078,0.782609,5.54203,0.882353,6.97368,,,,,,,,,,,,,,,,,,
0.951012,7.18167,0.983408,6.22386,1.152627,8.74104,0.517241,3.4197,0.816987,6.0313,0.945233,7.76856,,,,,,,,,,,,,,,,,,
0.991507,7.78049,1.011754,6.42919,1.187243,8.9876,0.576065,3.79474,0.841254,6.40935,0.979716,8.23227,,,,,,,,,,,,,,,,,,
1.040101,8.34151,1.046175,6.74686,1.229979,9.1966,0.614604,4.08161,0.881699,6.78757,1.008114,8.62974,,,,,,,,,,,,,,,,,,
1.090719,8.93998,1.100843,7.10133,1.250357,9.40497,0.681542,4.58915,0.924166,7.32138,1.042596,9.04925,,,,,,,,,,,,,,,,,,
1.133239,9.53873,1.139313,7.34382,1.313476,9.84123,0.718053,4.98654,0.946411,7.81052,1.081136,9.77811,,,,,,,,,,,,,,,,,,
1.173734,10.04376,1.175759,7.64265,1.36845,10.22059,0.768763,5.42797,0.982811,8.25536,1.119675,10.04288,,,,,,,,,,,,,,,,,,
1.222328,10.43596,1.20208,7.84806,1.43563,10.63808,0.823529,6.02405,1.013145,8.74459,1.176471,10.79363,,,,,,,,,,,,,,,,,,
1.274971,10.97807,1.240551,8.12807,1.496702,11.01762,0.853955,6.33311,1.043478,9.14493,1.235294,11.47806,,,,,,,,,,,,,,,,,,
1.327615,11.35137,1.299268,8.3886,1.55368,11.28369,0.878296,6.70853,1.094034,9.72327,1.312373,12.29489,,,,,,,,,,,,,,,,,,
1.36811,11.83764,1.345837,8.6308,1.610663,11.56866,0.912779,7.17223,1.120324,10.23467,1.363083,12.93521,,,,,,,,,,,,,,,,,,
1.418728,12.28604,1.390382,8.91059,1.712362,11.8549,0.94929,7.45912,1.17088,10.7019,1.434077,13.48692,,,,,,,,,,,,,,,,,,
1.461248,12.65969,1.449099,9.11485,1.795787,12.21617,0.979716,8.21017,1.221436,11.3469,1.492901,13.95035,,,,,,,,,,,,,,,,,,
1.507817,12.95817,1.503768,9.30049,1.856782,12.29346,1.014199,8.69598,1.261881,11.83624,1.547667,14.30334,,,,,,,,,,,,,,,,,,
1.566535,13.31249,1.554386,9.41125,1.925907,12.37098,1.048682,9.07129,1.296259,12.19218,1.618661,14.83294,,,,,,,,,,,,,,,,,,
1.615129,13.57338,1.60298,9.55959,1.999107,12.4864,1.087221,9.68964,1.354904,12.83728,1.716024,15.38435,,,,,,,,,,,,,,,,,,
1.669797,13.8153,1.653599,9.67034,,,1.133874,10.13112,1.40546,13.14895,1.841785,16.22274,,,,,,,,,,,,,,,,,,
1.752811,14.22504,1.698143,9.83759,,,1.160243,10.44022,1.453994,13.77171,1.931034,16.81844,,,,,,,,,,,,,,,,,,
1.815579,14.39163,1.754836,9.96688,,,1.20284,10.94803,1.492417,14.12769,1.991886,17.19346,,,,,,,,,,,,,,,,,,
1.882395,14.52057,1.831777,10.0767,,,1.245436,11.21276,1.549039,14.52832,2.097363,17.87738,,,,,,,,,,,,,,,,,,
1.939088,14.57484,1.88442,10.18739,,,1.275862,11.49971,1.589484,14.79544,2.160243,18.38497,,,,,,,,,,,,,,,,,,
,14.62917,1.941113,10.22289,,,1.308316,11.87505,1.650152,15.15167,2.204868,18.58337,,,,,,,,,,,,,,,,,,
,,2.00388,10.22067,,,1.348884,12.29449,1.70273,15.55225,2.275862,19.00248,,,,,,,,,,,,,,,,,,
,,2.056523,10.23756,,,1.383367,12.5814,1.745197,15.68606,2.324544,19.20083,,,,,,,,,,,,,,,,,,
,,,,,,1.411765,12.75788,1.789687,15.95322,,,,,,,,,,,,,,,,,,,,
,,,,,,1.442191,13.15533,1.822042,16.19802,,,,,,,,,,,,,,,,,,,,
,,,,,,1.486815,13.61893,1.86451,16.50961,,,,,,,,,,,,,,,,,,,,
,,,,,,1.559838,14.03801,1.913043,16.75459,,,,,,,,,,,,,,,,,,,,
,,,,,,1.614604,14.4573,1.985844,17.17762,,,,,,,,,,,,,,,,,,,,
,,,,,,1.693712,14.94261,2.024267,17.57805,,,,,,,,,,,,,,,,,,,,
,,,,,,1.750507,15.31767,2.101112,18.04557,,,,,,,,,,,,,,,,,,,,
,,,,,,1.807302,15.69274,2.139535,18.24599,,,,,,,,,,,,,,,,,,,,
,,,,,,1.862069,16.04572,2.184024,18.5576,,,,,,,,,,,,,,,,,,,,
,,,,,,1.951318,16.48673,2.21638,18.8024,,,,,,,,,,,,,,,,,,,,
,,,,,,1.989858,16.83989,2.285137,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.064909,17.32525,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.125761,17.72237,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.192698,18.07522,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.251521,18.38396,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.30426,18.64857,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.365112,19.13409,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.413793,19.37664,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.464503,19.64128,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19.88394,,,,,,,,,,,,,,,,,,,,,,
