Time,Magnitude
3.0,1.377667e-05
3.1,2.54049e-05
3.2,6.836713e-07
3.3,1.674631e-05
3.4,1.098275e-05
3.5,7.221488e-06
3.6,1.306338e-05
3.7,1.983226e-05
3.8,1.176841e-05
3.9,1.675672e-05
4.0,1.648086e-06
4.1,2.059598e-05
4.2,1.604836e-06
4.3,1.259937e-05
4.4,4.432292e-06
4.5,1.899723e-05
4.6,1.251997e-05
4.7,1.482027e-05
4.8,6.0014e-06
4.9,1.070619e-05
5.0,6.164365e-06
5.1,2.132696e-05
5.2,8.257191e-06
5.3,1.321304e-05
5.4,1.560412e-05
5.5,7.977119e-07
5.6,6.292671e-06
5.7,5.802384e-06
5.8,9.248077e-06
5.9,7.626837e-06
6.0,1.830819e-05
6.1,1.332198e-05
6.2,2.631218e-05
6.3,2.032364e-05
6.4,6.04434e-06
6.5,1.687255e-05
6.6,2.312323e-06
6.7,3.772535e-06
6.8,3.57616e-05
6.9,1.37159e-05
7.0,2.153819e-05
7.1,1.748166e-06
7.2,1.950612e-05
7.3,1.341606e-05
7.4,9.38613e-06
7.5,6.899941e-06
7.6,1.101162e-05
7.7,1.953522e-05
7.8,1.413938e-05
7.9,1.735999e-05
8.0,2.329013e-06
8.1,1.7172e-05
8.2,8.372162e-06
8.3,4.302218e-06
8.4,5.56405e-06
8.5,1.015417e-05
8.6,1.234536e-05
8.7,1.067612e-05
8.8,1.557245e-05
8.9,1.59009e-05
9.0,8.701232e-06
9.1,7.835978e-08
9.2,8.507695e-06
9.3,4.982181e-06
9.4,1.543058e-05
9.5,5.095625e-06
9.6,1.528531e-05
9.7,3.024935e-06
9.8,2.636421e-06
9.9,1.087017e-05
10.0,1.151331e-05
10.1,1.124875e-05
10.2,1.722991e-05
10.3,1.045567e-05
10.4,1.256766e-05
10.5,2.6382e-05
10.6,1.644818e-05
10.7,1.30973e-05
10.8,1.329976e-05
10.9,1.096565e-05
11.0,1.045521e-05
11.1,9.731855e-06
11.2,1.186406e-05
11.3,1.053121e-05
11.4,1.240343e-05
11.5,2.577412e-05
11.6,1.66019e-05
11.7,1.025139e-05
11.8,1.056986e-06
11.9,7.325234e-06
12.0,8.402506e-06
12.1,1.602625e-05
12.2,6.851643e-06
12.3,1.322567e-05
12.4,8.932366e-06
12.5,9.119254e-06
12.6,4.818807e-06
12.7,1.043535e-05
12.8,1.982803e-05
12.9,8.592736e-06
13.0,5.583772e-06
13.1,1.257841e-05
13.2,5.495027e-06
13.3,6.819481e-06
13.4,8.394091e-06
13.5,7.602318e-06
13.6,1.012806e-05
13.7,9.360707e-06
13.8,1.237988e-05
13.9,1.244692e-05
14.0,9.894739e-06
14.1,2.387325e-05
14.2,8.94633e-06
14.3,5.976206e-06
14.4,1.385498e-05
14.5,1.010874e-05
14.6,6.329794e-06
14.7,9.349898e-06
14.8,2.325724e-05
14.9,1.465215e-05
15.0,1.292949e-05
